      X Adcolor     Time TimeSearching Click AmountSpent
78   78   Green 16.67682    19.9588175     1    25.02439
79   79    Blue 20.48649    20.0773132     1    16.87590
80   80   Green 18.61205    20.4931708     1    13.38391
81   81   Green 15.83982    20.5557164     1    11.87104
82   82    Blue 20.73909    20.5759917     1    21.00832
83   83   Green 17.64557    20.7835727     1    20.88662
84   84    Blue 20.33788    21.1624470     1    20.01240
85   85    Blue 18.36033    21.4840856     1    20.05265
86   86   Green 19.21128    21.6568191     1    19.84615
87   87    Blue 20.41049    21.8389205     1    18.87279
88   88   Green 19.00122    21.9157163     1    23.25807
89   89    Blue 21.18976    22.1986905     1    22.29383
90   90   Green 17.88125    22.3456359     1    22.86168
91   91   Green 16.91511    22.4260667     1    17.04336
92   92   Green 18.05802    22.5037239     1    20.23378
93   93    Blue 18.71269    22.7235171     1    17.43505
94   94   Green 18.98418    22.7505076     1    11.64873
95   95    Blue 18.37010    22.8818987     1    17.86574
96   96   Green 19.21340    23.0901907     1    22.75629
97   97    Blue 20.53702    23.1439439     1    23.57100
98   98   Green 19.19762    23.1572516     1    23.62725
99   99    Blue 17.17220    23.1852017     1    23.04268
100 100    Blue 20.17786    23.2912183     1    19.46643
101 101   Green 18.08437    23.3295189     1    45.65737
102 102   Green 17.17501    23.4151573     1    38.28062
103 103   Green 18.56128    23.5134021     1    44.95070
104 104    Blue 20.27018    23.5783359     1    32.40386
105 105   Green 17.02998    23.5846770     1    28.96198
106 106    Blue 20.03985    23.7261527     1    35.87843
107 107    Blue 19.84327    23.7368547     1    45.10235
108 108   Green 17.16543    23.7798549     1    37.72290
109 109    Blue 20.06473    23.8684394     1    46.75637
110 110   Green 17.37815    24.1155157     1    50.48076
111 111    Blue 20.68344    24.2387668     1    35.79771
112 112    Blue 18.33426    24.2928853     1    38.68959
113 113   Green 17.21361    24.5183250     1    38.68389
114 114    Blue 20.66574    24.6877311     1    30.11639
115 115   Green 17.77376    24.8748266     1    42.03013
116 116    Blue 19.06236    24.9208759     1    44.73125
117 117   Green 16.32544    25.1792875     1    52.55676
118 118   Green 17.95798    25.3570337     1    43.92253
119 119   Green 17.77741    25.4693696     1    40.35252
120 120   Green 18.61423    25.4921396     1    33.47675
121 121    Blue 21.16797    25.5491628     1    35.69385
122 122   Green 20.32729    25.5855875     1    38.97705
123 123    Blue 20.94172    25.9789481     1    50.74448
124 124    Blue 19.95362    25.9948721     1    40.97769
125 125   Green 17.00550    26.0257367     1    42.91851
126 126    Blue 19.61428    26.0787772     1    35.69064
127 127    Blue 18.57682    26.3567003     1    45.66535
128 128   Green 18.59501    26.5920651     1    34.18017
129 129   Green 17.59773    26.7999728     1    38.65983
130 130   Green 18.53735    26.8224665     1    41.78109
131 131   Green 18.61485    27.1044758     1    38.00175
132 132    Blue 19.30749    27.2079604     1    45.98612
133 133    Blue 20.81224    27.4805781     1    49.99901
134 134   Green 15.11280    27.5578761     0    20.23397
135 135   Green 18.41203    27.5674673     1    46.41439
136 136    Blue 19.28656    27.7061614     1    45.18348
137 137    Blue 19.82798    27.7351729     1    48.19153
138 138   Green 18.22690    27.9713613     1    48.33756
139 139   Green 17.57641    28.2524403     1    34.44322
140 140    Blue 18.20497    28.2937844     1    40.63796
141 141   Green 17.03641    28.3680008     1    31.85868
142 142   Green 16.20361    28.5171701     1    46.27518
143 143   Green 17.02251    28.8893656     1    36.89859
144 144    Blue 19.39438    28.9453859     1    43.26994
145 145    Blue 20.94328    29.0053610     1    41.14002
146 146   Green 17.59495    29.2480283     1    41.63131
147 147   Green 18.83773    29.3414712     1    45.44805
148 148    Blue 22.34687    29.3510598     1    46.39648
149 149   Green 17.63027    29.6264349     1    35.44007
150 150   Green 18.37011    29.6865718     1    36.34864
151 151    Blue 19.57597    30.4118493     1    44.73081
152 152   Green 17.94428    30.4375359     1    41.69341
153 153    Blue 20.32056    30.7097787     1    26.04383
154 154   Green 17.65093    30.7591967     1    32.34642
155 155   Green 19.26166    31.0336475     1    32.57433
156 156    Blue 21.17995    31.0602240     1    34.07312
157 157   Green 18.80948    31.1241778     1    45.97785
158 158    Blue 18.73910    31.3370700     1    25.17588
159 159    Blue 19.13509    31.3420925     1    34.29215
160 160    Blue 19.34260    31.5606146     1    39.29042
161 161    Blue 18.82355    31.7796744     1    39.79627
162 162   Green 18.46380    32.0573135     1    33.50184
163 163    Blue 19.82676    32.1104920     0    42.83918
164 164   Green 17.74744    32.4985343     1    35.71612
165 165   Green 18.85728    32.7223173     1    36.90039
166 166    Blue 21.00170    32.9274520     1    45.72443
167 167   Green 16.28071    33.6062977     1    40.64303
168 168    Blue 21.27103    33.9553818     1    42.17079
169 169   Green 18.69222    34.2884323     1    39.47977
170 170    Blue 20.61573    34.7192440     1    37.37796
171 171   Green 17.08033    34.7700906     1    46.16196
172 172    Blue 19.71601    34.8330049     1    43.12847
173 173    Blue 18.13179    34.9513548     1    38.90362
174 174    Blue 19.58825    34.9905706     1    33.23215
175 175    Blue 19.52533    35.0876181     1    25.89891
176 176    Blue 18.88890    35.3598552     1    30.60256
177 177   Green 17.97104    35.4100556     1    41.59355
178 178    Blue 20.71790    36.6210226     1    41.58249
179 179   Green 17.18802    36.7923577     1    41.24550
180 180   Green 18.86448    37.0460977     1    26.11983
181 181    Blue 21.38701    37.3042197     1    44.06859
182 182    Blue 19.54172    37.5561387     1    48.31720
183 183    Blue 19.27262    37.5715905     1    37.60958
184 184   Green 16.05257    37.8792783     1    34.56606
185 185    Blue 21.43935    38.3232925     1    29.08978
186 186   Green 17.27479    38.3843047     1    47.64912
187 187   Green 18.19551    38.9500449     1    41.34653
188 188   Green 17.74919    38.9733641     1    37.92391
189 189   Green 18.69319    39.1694505     1    39.08697
190 190   Green 19.74933    39.2549119     1    42.47395
191 191    Blue 20.01662    40.2489333     1    43.67391
192 192    Blue 20.40684    40.6547624     1    39.91554
193 193    Blue 19.88954    40.8997155     1    33.35802
194 194    Blue 23.50382    41.6244301     1    35.47283
195 195   Green 17.05482    42.1632419     1    39.98637
196 196   Green 17.92813    42.4108228     1    44.17554
197 197    Blue 20.71000    44.2220088     1    43.85929
198 198    Blue 20.42097    46.2598682     1    43.26066
199 199    Blue 22.45622    49.2095834     1    32.68119
200 200   Green 18.98872    57.2120397     1    45.48508
